Country Name,"Country Code","Series Name","Series Code","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]"
United States,"USA","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","2.67723669309172","3.3927468454955","3.22594410070404","2.85267248150138","3.839100296651","-0.355546266299747","1.6400434423899","3.156841568622","2.06933726526067","1.46483265562717","1.62222297740817","0.118627135552451","1.26158320570536","2.13011000365961","2.44258329692817","1.81221007526021","1.23358439630629","4.69785886363742","8.00279982052121","4.11633838374488"
Ukraine,"UKR","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","9.04806786050888","13.5695764909248","9.05252491133248","12.8387796190181","25.226461707384","15.8811924594476","9.37293105078978","7.95572466274652","0.568727971803862","-0.238948626045407","12.0718562874251","48.6998646434424","13.9127101997797","14.4383227488749","10.9518559353178","7.88671745611133","2.73249209419427","9.36313917695223","20.1836366617478","12.8490222828559"
,"","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","",""
Data from database: World Development Indicators,"","","","","","","","","","","","","","","","","","","","","","",""
Last Updated: 11/13/2024,"","","","","","","","","","","","","","","","","","","","","","",""
